generation,gac,mean_novelty,archive_size
571,11.02,0.5355410690260746,200
572,10.4,0.4697202807100008,200
573,11.36,0.526439872234603,200
574,11.04,0.5585059245546496,200
575,10.24,0.5560357746779849,200
576,9.72,0.5430648198019989,200
577,9.58,0.5374335775795344,200
578,9.46,0.5455679564712912,200
579,11.2,0.5581895546306308,200
580,11.34,0.5448803126161497,200
581,10.74,0.5412404345073625,200
582,12.46,0.5788353299769617,200
583,13.76,0.574562845291878,200
584,13.56,0.5630260973367494,200
585,13.02,0.5825312222386806,200
586,12.94,0.5778517589907356,200
587,12.54,0.5322818945682333,200
588,11.2,0.5256074103927129,200
589,12.08,0.5417570765450658,200
590,11.2,0.5352159523396396,200
591,11.88,0.6016846565639942,200
592,12.04,0.5946258215494878,200
593,11.18,0.5527771554869595,200
594,12.0,0.5115672786399884,200
595,11.06,0.5702946871370479,200
596,10.6,0.5395889924489142,200
597,10.82,0.5628112901957621,200
598,10.32,0.5071512114365003,200
599,9.64,0.5193783126630968,200
600,9.82,0.5581927747840556,200
601,10.22,0.5710733481231063,200
602,8.42,0.6025492026067958,200
603,9.7,0.6225155138377577,200
604,8.96,0.664704403915291,200
605,10.94,0.5943887369742609,200
606,10.08,0.5679741647898108,200
607,10.7,0.576673078832586,200
608,8.16,0.5098474247524544,200
609,9.02,0.47606154375168075,200
610,8.88,0.5666841235491361,200
611,8.16,0.5738629141631458,200
612,7.24,0.5906977992342067,200
613,7.3,0.527499315109657,200
614,7.38,0.5024143278220988,200
615,7.76,0.4762526666099723,200
616,7.72,0.5588703922115099,200
617,7.58,0.5120915355213889,200
618,7.7,0.5199306904045222,200
619,7.92,0.5422490208519976,200
620,8.02,0.547063884701362,200
621,7.4,0.5682980897386554,200
622,7.22,0.5139695343413179,200
623,7.08,0.5241577037436879,200
624,7.1,0.5366444828186032,200
625,7.12,0.5528073913788382,200
626,6.9,0.47711149517401025,200
627,7.16,0.515794253049636,200
628,7.06,0.5223413439268378,200
629,7.58,0.5675455044096648,200
